#佣兵初始设定表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#编号,#名称,用途,形象,等级,品质,力量,敏捷,智力,魅力,最大血量,特性0,特性1,特性2,特性3,普攻,绝招,浮空值,重力,崩坏点数,霸体系数,攻击延迟播放速率,攻击延迟速率持续时间,性别,羁绊,描述,武器,防具,饰品,药水,职业(CLASSIFY_WARRIOR=战士 CLASSIFY_ARCHER=弓手 CLASSIFY_CLERIC=牧师 CLASSIFY_WITCHER=魔法师)
#!id,pname,use,avatar,lv,quality,strength,agile,intelligence,charm,hp_max,feat0,feat1,feat2,feat3,normal_attack,skill,skyup_value,gravity_value,break,endure,slow_attack,attack_time,sex,relations,desc,weapon,armor,accessory,potion,classify
int,string,string,string,int,int,int,int,int,int,int,int,int,int,int,string,int,int,int,int,int,float,float,int,string,string,int,int,int,int,string
1027,星空剑士斯塔,限时礼包,1027,1,5,39,24,32,23,100,,,,,,1,20,90,100,,,,1,,据说家传的陨星剑技很厉害,,,,,CLASSIFY_WARRIOR
1028,圣殿骑士多利,,1028,1,3,21,15,18,13,60,,,,,,1,20,90,100,,,,1,21,喜欢普尔有什么错！,,,,,CLASSIFY_WARRIOR
1029,黄金剑士丽尔,礼包,1029,1,4,31,24,17,17,80,,,,,,1,20,90,100,,,,1,,喜欢一种叫做百式的颜色,,,,,CLASSIFY_WARRIOR
1030,翼剑士弗莱,No.5－8副本的奖励,1030,1,1,8,5,5,5,20,,,,,,1,20,90,100,,,,1,,她的攻击都快飞起来了！,,,,,CLASSIFY_WARRIOR
1031,灰鸽剑士豆豆,募兵所,1031,1,1,8,5,5,4,20,,,,,,1,20,90,100,,,,1,,吃饭睡觉打豆豆,,,,,CLASSIFY_WARRIOR
1032,酸甜剑士橘子,募兵所,1032,1,1,7,5,5,4,20,,,,,,1,20,90,100,,,,1,22|23,好想成为新鲜橘子啊~,,,,,CLASSIFY_WARRIOR
1033,酸酸莱姆,募兵所,1033,1,1,8,5,5,5,20,,,,,,1,20,90,100,,,,1,,那些甜甜的女孩子一定都是装可爱,,,,,CLASSIFY_WARRIOR
1034,酸甜剑士西柚,募兵所,1034,1,1,7,5,5,4,20,,,,,,1,20,90,100,,,,1,24|25,运动过后的西柚汽水棒棒的,,,,,CLASSIFY_WARRIOR
1035,冰凌美雪,募兵所,1035,1,1,7,4,4,5,20,,,,,,1,20,90,100,,,,1,,很喜欢和托姆一起制作牛奶冰,,,,,CLASSIFY_WARRIOR
1036,牛铃盾托姆,刮刮乐,1036,1,3,25,15,18,16,60,,,,,,1,20,90,100,,,,1,,哎呀，谁家的牛，又跑到我家院子里来了~,,,,,CLASSIFY_WARRIOR
#弓箭手,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,流星弓蕾娜尔,募兵所,3000,1,2,17,9,8,8,40,,,,,,21,20,90,100,,,,1,,向我许愿也不是不行哦？,,,,,CLASSIFY_ARCHER
3001,炽焰弓玛丽娜,,3001,1,2,15,12,9,8,40,,,,,,22,20,90,100,,,,1,,人见人爱花见花开的小公主，但千万别小看她手里的弓。,,,,,CLASSIFY_ARCHER
3002,弓兵戴夫,,3002,1,2,15,9,9,8,40,,,,,,23,20,90,100,,,,1,,军校荣誉毕业，打算从底层做起。,,,,,CLASSIFY_ARCHER
3003,圣弓克里丝,,3003,1,2,14,10,9,9,40,,,,,,24,20,90,100,,,,1,,受到女神祝福，能射出蕴含神圣之力的箭。,,,,,CLASSIFY_ARCHER
3004,侠盗芒果,限时礼包,3004,1,3,25,14,18,14,60,,,,,,25,20,90,100,,,,1,26|27,没错！是芒果！,,,,,CLASSIFY_ARCHER
3005,紫箭艾蕾娜,限时礼包,3005,1,4,36,25,21,18,80,,,,,,26,20,90,100,,,,1,,有能将紫色元素转换为魔力的特殊体质。,,,,,CLASSIFY_ARCHER
3006,缎带弓瑞丝 ,,3006,1,3,23,16,17,14,60,,,,,,27,20,90,100,,,,1,,身上有着加州西柚的香味,,,,,CLASSIFY_ARCHER
3007,蝴蝶弓裘裘 ,刮刮乐,3007,1,4,34,17,22,19,80,,,,,,28,20,90,100,,,,1,,寻找着雌蕊,,,,,CLASSIFY_ARCHER
3008,巡林客飘柔,募兵所,3008,1,1,5,8,4,4,20,,,,,,29,20,90,100,,,,1,64|65,扬起的金发带着那一缕飘柔～,,,,,CLASSIFY_ARCHER
3009,穿心箭本菲卡,募兵所,3009,1,1,5,7,4,5,20,,,,,,30,20,90,100,,,,1,41,这不是晒黑，这是紫外线美容后的麦烧妆！,,,,,CLASSIFY_ARCHER
3010,穿云箭欧罗巴,募兵所,3010,1,1,4,8,4,5,20,,,,,,31,20,90,100,,,,1,,你猜我姐姐是谁？,,,,,CLASSIFY_ARCHER
3011,侠盗绿叶,募兵所,3011,1,1,5,8,5,4,20,,,,,,32,20,90,100,,,,1,,没错！是绿叶！,,,,,CLASSIFY_ARCHER
3012,巡林客布朗恩,募兵所,3012,1,1,5,7,5,4,20,,,,,,33,20,90,100,,,,1,42,我就是穿梭在林中的闪电！,,,,,CLASSIFY_ARCHER
3013,塞巴斯蒂娜,,3013,1,2,10,10,17,12,40,,,,,,34,20,90,100,,,,1,,请叫我蒂娜就好。,,,,,CLASSIFY_ARCHER
3014,巡林客斯塔尔,,3014,1,3,19,22,15,17,60,,,,,,35,20,90,100,,,,1,43,我是在林中横扫的疾风！,,,,,CLASSIFY_ARCHER
3015,弓教官塔拉,,3015,1,2,8,14,10,9,40,,,,,,36,20,90,100,,,,1,30|31,再拉弓30次！,,,,,CLASSIFY_ARCHER
3016,星弓邱蒂,礼包,3016,1,5,31,37,27,21,100,,,,,,37,20,90,100,,,,1,36|37,瞄得人家眼睛都红了啦……,,,,,CLASSIFY_ARCHER
3017,弦乐古尔叮,礼包,3017,1,4,21,34,21,22,80,,,,,,38,20,90,100,,,,1,,…Are you OK?,,,,,CLASSIFY_ARCHER
3018,凯恩,刮刮乐,3018,1,3,18,28,17,12,60,,,,,,39,20,90,100,,,,1,50|51,我的箭就是树梢顶端闪耀明星,,,,,CLASSIFY_ARCHER
3019,认真的丝瑞尔,刮刮乐,3019,1,3,14,23,14,15,60,,,,,,40,20,90,100,,,,1,44|45,疲劳的时候尤其要注意仪态！,,,,,CLASSIFY_ARCHER
3020,勤奋的拉瑞,刮刮乐,3020,1,3,15,23,15,15,60,,,,,,2,20,90,100,,,,1,46|47,我已经参加过5次野外探险了！,,,,,CLASSIFY_ARCHER
3021,丝,限时礼包,3021,1,5,23,43,23,26,100,,,,,,3,20,90,100,,,,1,52|53,射出的箭羽消逝如天空的流星，璀璨而短暂，真美……,,,,,CLASSIFY_ARCHER
3022,弓手汀娜,No.13－16副本的奖励,3022,1,2,10,18,9,10,40,,,,,,4,20,90,100,,,,1,,棒棒糖真的不是我的最爱!,,,,,CLASSIFY_ARCHER
3023,厄多,No.1－4副本的奖励,3023,1,1,4,8,4,5,20,,,,,,5,20,90,100,,,,1,,我可不是小孩子了!,,,,,CLASSIFY_ARCHER
3024,巡林客厄尔多,No.17－20副本的奖励,3024,1,2,11,16,11,11,40,,,,,,6,20,90,100,,,,1,,这可是我与生俱来的发色呢!,,,,,CLASSIFY_ARCHER
3025,执着的桃瑞丝,No.9－12副本的奖励,3025,1,2,10,16,12,11,40,,,,,,7,20,90,100,,,,1,48|49,"其实我只是太累了,需要休息!",,,,,CLASSIFY_ARCHER
3026,弓手沃达,No.25－28副本的奖励,3026,1,3,16,24,17,14,60,,,,,,8,20,90,100,,,,1,,每次都是两根箭同时射中两个目标！,,,,,CLASSIFY_ARCHER
3027,星眼的路加,,3027,1,1,5,7,5,4,20,,,,,,9,20,90,100,,,,1,,星が我が敵を喰らう！,,,,,CLASSIFY_ARCHER
3028,弓手克瑞斯,No.29－32副本的奖励,3028,1,3,18,24,15,18,60,,,,,,2,20,90,100,,,,1,,刘海不会遮挡我的视线的!,,,,,CLASSIFY_ARCHER
3029,弓手艾克,,3029,1,1,5,7,5,4,20,,,,,,2,20,90,100,,,,1,,走在潮流前线,,,,,CLASSIFY_ARCHER
3030,娜塔丽,No.5－8副本的奖励,3030,1,1,4,7,5,4,20,,,,,,2,20,90,100,,,,1,,我还会再长高的!会的!,,,,,CLASSIFY_ARCHER
3031,弓手瑞丝,,3031,1,1,5,7,5,4,20,,,,,,2,20,90,100,,,,1,,太阳还能再毒一些么?!,,,,,CLASSIFY_ARCHER
3032,弓手里昂,No.21－24副本的奖励,3032,1,3,16,25,17,17,60,,,,,,2,20,90,100,,,,1,19|20,瞧我这性感的小胡子……,,,,,CLASSIFY_ARCHER
3033,爆裂箭哈娜,礼包,3033,1,4,18,32,24,20,80,,,,,,2,20,90,100,,,,1,,小麦肤可是最健康的肤色呢!,,,,,CLASSIFY_ARCHER
3034,弓手安可,礼包,3034,1,3,15,22,19,12,60,,,,,,2,20,90,100,,,,1,,"各种发饰都是我的最爱,你呢?",,,,,CLASSIFY_ARCHER
3035,可瑞儿,,3035,1,1,5,7,5,4,20,,,,,,2,20,90,100,,,,1,,"你看,粉色是不是很适合我呢?",,,,,CLASSIFY_ARCHER
3036,弓手那鲁,,3036,99,1,5,7,5,4,20,,,,,,2,20,90,100,,,,1,,还有谁!天赋异禀可不是谁都有的呢!,,,,,CLASSIFY_ARCHER
#法师,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000,元气bell,募兵所,5000,1,2,16,9,8,9,40,,,,,,41,20,90,100,,,,1,,今天也是元气满满的叮当响,,,,,CLASSIFY_WITCHER
5001,魔法少女艾达,募兵所,5001,1,1,7,5,5,4,20,,,,,,42,20,90,100,,,,1,,明明是魔法少女却不会变身的女高中生,,,,,CLASSIFY_WITCHER
5002,猎法师米特妮,,5002,1,2,16,9,8,8,40,,,,,,43,20,90,100,,,,1,,用喜欢吃的东西来捕猎！,,,,,CLASSIFY_WITCHER
5003,摇滚法师洛克,,5003,1,4,29,19,19,19,80,,,,,,44,20,90,100,,,,1,70|71|72,拿起吉他就稍微有点失控,,,,,CLASSIFY_WITCHER
5004,宝石杖喵喵,礼包,5004,1,5,39,21,24,23,100,,,,,,45,20,90,100,,,,1,,阿撒托斯的COS装扮，现在流行中,,,,,CLASSIFY_WITCHER
5005,兔之杖班妮,No.9－12副本的奖励,5005,1,2,8,9,14,9,40,,,,,,46,20,90,100,,,,1,,兔兔这么可爱怎么可以吃兔兔！,,,,,CLASSIFY_WITCHER
5006,星法师芭芭拉,,5006,1,4,36,20,22,17,80,,,,,,47,20,90,100,,,,1,,不喜欢咸的芋头,,,,,CLASSIFY_WITCHER
5007,弦之杖拉露娜,限时礼包,5007,1,3,24,13,16,14,60,,,,,,48,20,90,100,,,,1,,是男的,,,,,CLASSIFY_WITCHER
5008,时之杖漤幻蓝,,5008,1,3,23,17,12,13,60,,,,,,49,20,90,100,,,,1,66,每天被【凯洛特】强迫组队烦不胜烦。,,,,,CLASSIFY_WITCHER
5009,小丑法师乔克,No.21－24副本的奖励,5009,1,3,13,13,21,14,60,,,,,,50,20,90,100,,,,1,,总是被问为什么把短裤套在头上,,,,,CLASSIFY_WITCHER
5010,牙月露露,刮刮乐,5010,1,3,23,16,13,14,60,,,,,,51,20,90,100,,,,1,,喜欢偷偷变成猫尾随女高中生,,,,,CLASSIFY_WITCHER
5011,平刘海海尔,募兵所,5011,1,1,8,5,5,4,20,,,,,,52,20,90,100,,,,1,60|61,很在意发际线，非常,,,,,CLASSIFY_WITCHER
5012,黑袍甘道夫,刮刮乐,5012,1,4,31,20,23,19,80,,,,,,53,20,90,100,,,,1,,烟火商人，很会忽悠,,,,,CLASSIFY_WITCHER
5013,萨满格林尼治,No.29－32副本的奖励,5013,1,3,25,18,18,16,60,,,,,,54,20,90,100,,,,1,,最近新学了西式跳大神,,,,,CLASSIFY_WITCHER
5014,维特丽尔,刮刮乐,5014,1,3,22,15,16,14,60,,,,,,55,20,90,100,,,,1,56,种小麦一把手，梦想是进城当大歌星。(有个哥哥维特尔),,,,,CLASSIFY_WITCHER
5015,维特尔,,5015,1,3,26,15,17,14,60,,,,,,56,20,90,100,,,,1,57,种小麦一把手，妹控。（妹妹是维特丽尔）,,,,,CLASSIFY_WITCHER
5016,魔杖旺达,限时礼包,5016,1,4,35,20,22,17,80,,,,,,57,20,90,100,,,,1,,条纹衫永不过时~,,,,,CLASSIFY_WITCHER
5017,呜噜莱丽,限时礼包,5017,1,5,39,21,25,23,100,,,,,,58,20,90,100,,,,1,,乌噜（帽子）是我的好朋友~ /眨眼,,,,,CLASSIFY_WITCHER
5018,蓝羽塞壬,礼包,5018,1,4,35,21,20,19,80,,,,,,59,20,90,100,,,,1,,不要跟我说话,,,,,CLASSIFY_WITCHER
5019,咯哩杖彭彭,募兵所,5019,1,1,5,4,8,4,20,,,,,,60,20,90,100,,,,1,,铲雪铲雪,,,,,CLASSIFY_WITCHER
5020,俄罗斯大冻肉,募兵所,5020,1,1,5,5,7,4,20,,,,,,3,20,90,100,,,,1,,俄罗斯是个寒冷的国家,,,,,CLASSIFY_WITCHER
5021,守夜人维格特,募兵所,5021,1,1,4,4,8,4,20,,,,,,3,20,90,100,,,,1,,怀里揣着《钢铁是怎样炼成的》壮胆,,,,,CLASSIFY_WITCHER
5022,奇维啫喱,,5022,1,2,9,8,15,10,40,,,,,,3,20,90,100,,,,1,58,草莓啫喱么么哒！,,,,,CLASSIFY_WITCHER
5023,草莓啫喱,,5023,1,2,10,10,17,10,40,,,,,,3,20,90,100,,,,1,59,奇维啫喱么么哒！,,,,,CLASSIFY_WITCHER
5024,天使鹿星星,,5024,1,2,10,8,18,9,40,,,,,,3,20,90,100,,,,1,,总觉得下一秒就要走上人生巅峰，但是算数很差怎么办,,,,,CLASSIFY_WITCHER
5025,绿眼帽咲爱,,5025,1,2,11,11,17,12,40,,,,,,3,20,90,100,,,,1,,请在心里随便默念一个数字，咲爱能猜到哦！,,,,,CLASSIFY_WITCHER
5026,钻石汪汪,刮刮乐,5026,1,3,16,12,23,13,60,,,,,,3,20,90,100,,,,1,,朴素的服装掩盖不住有钱人的味道~汪！,,,,,CLASSIFY_WITCHER
5027,candy小姐,No.13－16副本的奖励,5027,1,2,12,10,16,9,40,,,,,,3,20,90,100,,,,1,,一颗candy 鼓起脸颊 像是能得到幸福的咒语,,,,,CLASSIFY_WITCHER
5028,万圣晧莉,收益奖励,5028,1,3,18,14,28,17,60,,,,,,3,20,90,100,,,,1,,巴拉拉小魔星~,,,,,CLASSIFY_WITCHER
5029,柠檬杖博克斯,,5029,1,2,11,11,16,9,40,,,,,,3,20,90,100,,,,1,,sorry，桔子卖完了。这个？嗯，这个是柠檬。,,,,,CLASSIFY_WITCHER
5030,冻蕾苍白,No.5－8副本的奖励,5030,1,1,5,5,7,4,20,,,,,,3,20,90,100,,,,1,,划破夜空 苍白降临,,,,,CLASSIFY_WITCHER
5031,粉雪春菜,No.25－28副本的奖励,5031,1,3,16,19,24,12,60,,,,,,3,20,90,100,,,,1,,积雪融化 春花绽放,,,,,CLASSIFY_WITCHER
5032,奶酪杖啾啾,No.17－20副本的奖励,5032,1,2,12,11,17,11,40,,,,,,3,20,90,100,,,,1,,奶酪是啾啾的！谁也不可以拿~！,,,,,CLASSIFY_WITCHER
5033,三星叉帕斯塔,No.1－4副本的奖励,5033,1,1,4,7,5,5,20,,,,,,3,20,90,100,,,,1,62|63,为了和发型搭配，特意开了一家意面店。,,,,,CLASSIFY_WITCHER
5034,火烈鸟,礼包,5034,1,3,16,18,26,15,60,,,,,,3,20,90,100,,,,1,54|55,狂欢吧，飞舞吧，扭起来~！,,,,,CLASSIFY_WITCHER
#主教,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7000,演奏者诗达,刮刮乐,7000,1,3,14,14,18,21,60,,,,,,60,20,90,100,,,,1,73|74|75,愿这祝福的诗谣，能治愈你内心的伤痛。,,,,,CLASSIFY_CLERIC
7001,银键吉帕尔,限时礼包,7001,1,4,23,23,17,30,80,,,,,,61,20,90,100,,,,1,,曾经的不良少年，现在成为了执掌银色钥匙的宝库守护者。,,,,,CLASSIFY_CLERIC
7002,小红帽苏珊,募兵所,7002,1,2,10,12,10,15,40,,,,,,62,20,90,100,,,,1,,这瓶子里装的只是普通的饮料而已，嗝……,,,,,CLASSIFY_CLERIC
7003,洞察者道尔,,7003,1,2,9,9,11,14,40,,,,,,63,20,90,100,,,,1,,真相永远只有一个！（指）,,,,,CLASSIFY_CLERIC
7004,红衣罗拉,限时礼包,7004,1,3,15,17,15,22,60,,,,,,64,20,90,100,,,,1,,口头禅是：“你已经死了”；男,,,,,CLASSIFY_CLERIC
7005,修女阿曼达,礼包,7005,1,5,31,21,30,35,100,,,,,,65,20,90,100,,,,1,,阿曼达主教会克扣工资,,,,,CLASSIFY_CLERIC
7006,凯洛特,No.9－12副本的奖励,7006,1,2,11,9,12,17,40,,,,,,66,20,90,100,,,,1,67,胡萝卜胡萝卜，时刻准备着邂逅爱丽丝❤,,,,,CLASSIFY_CLERIC
7007,喵狩祭司艾萌,刮刮乐,7007,1,4,20,19,16,31,80,,,,,,67,20,90,100,,,,1,,用喵狩村祖传的技巧送你上天堂喵！,,,,,CLASSIFY_CLERIC
7008,冰之圣者亚斯,,7008,1,2,12,12,10,15,40,,,,,,68,20,90,100,,,,1,,擅长冰雕，用数学方程式进行雕刻的神人。,,,,,CLASSIFY_CLERIC
7009,绿之圣者瑞森,刮刮乐,7009,1,4,26,23,24,29,80,,,,,,69,20,90,100,,,,1,,只想安安静静地当一棵植物，血薄。,,,,,CLASSIFY_CLERIC
7010,花之圣者汀娜,No.13－16副本的奖励,7010,1,2,12,11,9,17,40,,,,,,70,20,90,100,,,,1,,狂欢节快到了，激动极了,,,,,CLASSIFY_CLERIC
7011,太阳圣者安娜,超级刮刮乐,7011,1,5,27,24,30,37,100,,,,,,71,20,90,100,,,,1,,身边WiFi信号很好,,,,,CLASSIFY_CLERIC
7012,复仇伯爵珂琳,刮刮乐|超级刮刮乐,7012,1,3,17,14,18,22,60,,,,,,72,20,90,100,,,,1,,叽咕山的伯爵。参加旅团是为了找3个仇人报仇。,,,,,CLASSIFY_CLERIC
7013,银发爱丝莱德,10-募兵所,7013,1,1,4,5,4,7,20,,,,,,73,20,90,100,,,,1,76|77|78,芭蕾舞演员转职，新职业还在适应中。,,,,,CLASSIFY_CLERIC
7014,红衣维特妮,No.21－24副本的奖励,7014,1,3,15,16,16,22,60,,,,,,74,20,90,100,,,,1,,有一次，她把自己放进烤箱，然后就黑了,,,,,CLASSIFY_CLERIC
7015,审查者萝波莉,刮刮乐,7015,1,3,16,13,14,23,60,,,,,,75,20,90,100,,,,1,,看上去像个侦探，那确实是她的本职工作,,,,,CLASSIFY_CLERIC
7016,见习教士克莉尔,No.25－28副本的奖励,7016,1,3,16,12,16,21,60,,,,,,76,20,90,100,,,,1,,正在寻找自己的妹妹，大家都很为她着急,,,,,CLASSIFY_CLERIC
7017,见习教士哈特莉,No.29－32副本的奖励,7017,1,3,14,15,15,23,60,,,,,,77,20,90,100,,,,1,79|80|81,兼职偶像歌手，很受欢迎呐,,,,,CLASSIFY_CLERIC
7018,修女杰普莉尔,募兵所,7018,1,3,17,14,16,21,60,,,,,,78,20,90,100,,,,1,,乐于助人，如果能照顾好自己就更完美了,,,,,CLASSIFY_CLERIC
7019,修女燃烧,礼包,7019,1,4,25,24,23,28,80,,,,,,79,20,90,100,,,,1,,大家都很怕她手里的燃烧瓶,,,,,CLASSIFY_CLERIC
7020,宿管员姬莉,礼包,7020,1,3,17,16,16,22,60,,,,,,80,20,90,100,,,,1,,拿魔法钥匙作为武器的人不多，她是一个,,,,,CLASSIFY_CLERIC
7021,圣者波尔,,7021,1,4,19,24,21,30,80,,,,,,4,20,90,100,,,,1,,威严，不看她的权杖的话。,,,,,CLASSIFY_CLERIC
7022,主教佩尔,每周奖励－第3天,7022,1,3,15,14,13,22,60,,,,,,4,20,90,100,,,,1,32|33,看上去很想睡觉，那是真的，他已经连续工作36个小时了,,,,,CLASSIFY_CLERIC
7023,苦修士黛尔,No.1－4副本的奖励,7023,1,1,5,4,5,8,20,,,,,,4,20,90,100,,,,1,,头盔是自己做的,,,,,CLASSIFY_CLERIC
7024,巡礼者凯尔,No.17－20副本的奖励,7024,1,2,9,9,12,16,40,,,,,,4,20,90,100,,,,1,,喜欢高礼帽,,,,,CLASSIFY_CLERIC
7025,审查者维派尔,,7025,1,3,18,18,16,23,60,,,,,,4,20,90,100,,,,1,38|39,瞪红了眼睛，也没有办法从放大镜中看到有用的线索,,,,,CLASSIFY_CLERIC
7026,审查者克里,,7026,1,2,8,10,10,14,40,,,,,,4,20,90,100,,,,1,,没有什么能够逃过他审视的目光,,,,,CLASSIFY_CLERIC
7027,贤者玲,,7027,1,2,11,8,11,15,40,,,,,,4,20,90,100,,,,1,,拿着自己做的祈福铃铛,,,,,CLASSIFY_CLERIC
7028,修女麦莉,募兵所,7028,1,1,5,4,4,8,20,,,,,,4,20,90,100,,,,1,,手持酒吧凶器,,,,,CLASSIFY_CLERIC
7029,修女昂丝莉普,限时礼包,7029,1,5,25,21,27,39,100,,,,,,4,20,90,100,,,,1,,其实手里的是魔法卷发棒,,,,,CLASSIFY_CLERIC
