#全局变量表,,
#!name,value,desc
#@string,string,string
VERSION,1.0,版本号
TASK_HARVEST,5,在指定的建筑中成功收获
TASK_PERFORM,6,看完指定的表演
TAST_SETPOSITION,7,往指定建筑放置佣兵(0为任意建筑)
TASK_FRIEND_NUM,8,好友达到指定数量
TASK_SELF_AVATAR,9,创建化身
TASK_FINGER_TIP,10,手势提示
TASK_FLOOR_LVUP,11,升级指定建筑（0为任意建筑）
TASK_FLOOR_BURST,12,加速指定建筑（0为任意建筑）
TASK_SHOP_BUY,13,商城刮卡（0为任意刮卡，收费的话就配对应的刮卡编号）
TASK_PK,14,pk（0为任意建筑）
#公会探险目标类型,,
ADVENTURE_TARGET_GOLD,1,金币
ADVENTURE_TARGET_DIAMOND,2,钻石
ADVENTURE_TARGET_BATTLEPOWER,3,战斗力
ADVENTURE_TARGET_STR,4,力量
ADVENTURE_TARGET_AGI,5,敏捷
ADVENTURE_TARGET_INT,6,智力
ADVENTURE_TARGET_CHA,7,魅力
ADVENTURE_TARGET_ITEM,8,道具
#公会相关,,
GUILD_FIRE_TIP,%leader%将%name%踢出了公会。,踢出公会的动态
GUILD_LEAVE_TIP,%name%离开了公会。,离开公会的动态
GUILD_NEWLEADER_TIP,%name%成为了会长。,更换会长的动态
GUILD_MEMBER_TIP,%name%加入了公会。,加入公会的动态
GUILD_ADV_CONTRIBUTE_TIP,%name%在冒险中做出了贡献。,探险更新的动态
GUILD_FIRE_MAILTITLE,公会,踢出公会的邮件标题
GUILD_FIRE_MAILCONT,你已被踢出公会,踢出公会的邮件内容
#反馈,,
FEEDBACK_ADDRESS,258171610@qq.com,接收反馈邮件的邮箱
#分享网址,,
QRCODE_SHARE_URL,http://l.taptap.com/123/ja65dliJ,扫码分享的网址
#内购补发邮件,,
PURCHASE_MAIL_SENDER,商城,内购补发邮件的发件人
PURCHASE_MAIL_CONTENT,购买补发,内购补发邮件的内容
PURCHASE_MAIL_ICON,5:1001:1:10000,内购补发邮件的图标
ANYSDKPAY_IPS,211.151.20.126|211.151.20.127|117.121.57.82,anysdk支付通知ip列表
ADS_VIEW_COLDTIME,7200,看广告冷却时间
ADS_BONUS,2:0:3:10000,看广告奖励
